Model,R2,MAE,RMSE,CrossValidation
Linear Regression,0.04280311441804896,0.8925415161515108,1.1966866867880273,0.0683395439274171
Extra Trees,0.012941358061307473,0.862124010712427,1.2152098992042148,0.08703824550185421
Gradient Boosting,-0.13426209960853042,0.8970546018276208,1.3026763584143617,0.021923900454320133
HistGradientBoosting,-0.20792742063494885,0.9721662755433217,1.3443125130186178,-0.08157707422149982
Random Forest,-0.3599788518702627,0.9826463652858818,1.4264150045401087,0.011611446383289991
